INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=32768, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
718, 279, 41
721, 2564, 93
510, 685, 60
541, 268, 58
269, 361, 0
450, 916, 32
1539, 3338, 90
369, 131, 60
752, 261, 46
685, 2617, 44
1056, 268, 36
1449, 4933, 150
1771, 2669, 89
1395, 6745, 49
896, 3766, 52
988, 448, 93
1087, 469, 55
1087, 5160, 43
437, 1640, 2
589, 305, 46
1491, 6671, 27
1567, 2113, 37
1001, 5105, 0
1277, 2990, 55
2659, 7116, 55
848, 1919, 21
1045, 2998, 69
1945, 2139, 43
1807, 8347, 61
402, 288, 46
442, 71, 44
513, 259, 2
765, 1305, 125
373, 496, 26
717, 783, 63
1180, 3855, 33
1332, 6823, 48
1411, 602, 41
2209, 4887, 70
2392, 7912, 84
375, 301, 78
790, 435, 20
1556, 6585, 75
329, 272, 39
545, 975, 79
432, 266, 42
315, 366, 53
704, 257, 132
637, 962, 68
584, 586, 117
2034, 229, 59
2345, 10599, 49
575, 1642, 44
2723, 7790, 98
2181, 7353, 96
1355, 1421, 92
1289, 5876, 54
254, 134, 5
345, 151, 26
447, 758, 62
5425, 4247, 63
6496, 23234, 128
364, 672, 47
731, 2584, 43
977, 2473, 37
1803, 80, 74
2135, 9391, 69
1247, 5413, 28
1614, 3377, 80
1236, 5425, 58
1239, 296, 73
781, 436, 104
836, 2669, 52
445, 605, 52
445, 106, 28
471, 520, 40
488, 170, 47
1231, 184, 34
1272, 6205, 29
851, 791, 115
909, 2878, 64
958, 3690, 88
1238, 1022, 107
472, 660, 43
832, 2226, 86
1315, 6020, 59
1633, 1478, 109
583, 1955, 61
916, 1329, 67
600, 555, 24
585, 2012, 73
431, 325, 61
425, 219, 48
1214, 1749, 44
1348, 5076, 75
671, 2320, 39
743, 729, 77
592, 1665, 47
650, 398, 45
1951, 9437, 48
1951, 624, 29
2851, 570, 69
2848, 13852, 37
666, 1643, 41
721, 1723, 40
585, 1273, 37
595, 553, 81
1232, 1786, 40
1234, 4994, 58
474, 428, 20
608, 1123, 100
949, 165, 70
1141, 4112, 85
905, 2107, 33
881, 2552, 78
365, 110, 17
500, 1010, 46
589, 1452, 39
686, 1232, 65
1017, 160, 88
1015, 4108, 68
549, 1013, 61
630, 757, 67
797, 3060, 39
829, 388, 52
5084, 2164, 32
5537, 22523, 69
400, 691, 31
1966, 8940, 19
1747, 1051, 98
317, 401, 0
599, 466, 58
614, 1293, 22
400, 923, 31
619, 352, 43
665, 1828, 51
1494, 889, 41
1607, 7404, 65
318, 676, 0
670, 2237, 42
404, 427, 66
851, 2421, 25
565, 1747, 73
1928, 2262, 121
1933, 7958, 84
2269, 724, 33
2478, 11698, 69
426, 1355, 26
565, 386, 131
768, 1799, 43
